Code,Description,Solution,TrainingText,Severity,Category,Steps
P1E50,Battery voltage sensor range error,Check and replace sensor,"battery voltage sensor error, incorrect battery reading, sensor fault, voltage reading out of range, battery voltage sensor malfunction, wrong voltage display, voltage sensor circuit fault, battery voltage not accurate, voltage measurement error, voltage transducer fault, battery volt meter wrong, voltage sensing error in battery",Medium,Battery,Compare sensor reading with multimeter|Check sensor wiring for damage|Inspect voltage divider circuit|Verify sensor reference voltage|Replace voltage sensor if faulty|Recalibrate voltage measurement in BMS
P1A10,BMS internal error,Reset BMS or replace if persistent,"bms error, battery management fault, charging system error, bms malfunction, battery management system failure, bms not working, bms software error, battery controller fault, bms crashed, battery management unit error, bms internal failure, battery supervision system fault",High,Battery,Attempt BMS reset via diagnostic tool|Check BMS power supply voltage|Update BMS firmware if available|Inspect BMS circuit board for damage|Replace BMS module if reset fails|Recalibrate all sensors after BMS replacement
P1A14,BMS cell balancing fault,Check BMS and balance modules,"bms balancing error, battery cell imbalance, bms module problem, cells not balanced, battery pack imbalanced, cell voltage mismatch, bms can't balance cells, uneven cell voltages, battery balance fault, cell equalization failure, bms balancing not working, pack imbalance detected",Medium,Battery,Read individual cell voltages|Identify cells with largest voltage delta|Check balancing resistor circuits|Verify balancing FET operation|Manually balance cells if needed|Monitor cell drift after balancing complete
P1A1C,BMS communication error,Inspect CAN bus wiring and reset BMS,"bms comms lost, bms not sending data, communication error in bms, bms can bus fault, bms offline, battery controller not communicating, bms data link error, can't read bms data, bms signal lost, bms network error, bms communication timeout, bms disconnected from network",High,Battery,Check CAN bus termination resistors|Inspect BMS CAN connector pins|Verify CAN bus voltage levels|Check for shorted or broken CAN wires|Reset BMS and re-establish communication|Update BMS firmware if communication protocol changed
P0A3F,Battery pack overtemperature,Inspect cooling system and reduce load,"battery overheating, battery too hot, battery thermal warning, high temperature battery alert, battery pack hot, battery overtemp shutdown, battery temperature exceeded limit, ev battery getting too hot, battery heat warning, pack temperature critical, battery thermal limit reached, battery cooling insufficient",Critical,Battery,Immediately reduce power demand|Check battery coolant level and flow|Inspect cooling fan operation|Check for blocked coolant passages|Verify thermal paste on battery modules|Allow battery to cool before resuming operation
P0A41,Battery pack undertemperature,Preheat battery before driving,"battery too cold, cold battery warning, battery temperature low, battery won't charge cold, cold weather battery problem, battery heater not working, battery preconditioning failed, freezing battery pack, battery cold soak issue, battery temperature below minimum, cold battery reduced performance, winter battery problem",Medium,Battery,Activate battery preconditioning system|Check battery heater element resistance|Verify coolant flow to heater|Ensure heater control relay works|Park in warmer environment if possible|Wait for battery to reach minimum operating temperature
P0AF5,Battery pack state of health low,Schedule battery service and capacity test,"battery health low, battery degraded, battery state of health poor, battery soh warning, battery aging fast, battery capacity fading, battery condition deteriorated, old battery performance issue, battery health warning light, battery end of life approaching, battery worn out, battery health percentage dropped",Medium,Battery,Run comprehensive battery health diagnostic|Record state of health percentage|Compare with expected degradation curve|Check for abnormal cell degradation|Plan battery module replacement schedule|Consider battery reconditioning service
P0C73,Drive motor performance issue,Inspect motor controller and wiring,"motor power low, weak acceleration, drive motor problem, loss of power, motor not performing, ev sluggish motor, motor output reduced, drive motor underperforming, motor lacks power, electric motor weak, motor efficiency dropped, motor power degraded",High,Motor,Check motor phase resistance|Inspect motor winding insulation|Test motor controller output|Check motor temperature sensor|Verify motor mounting and alignment|Replace motor if windings are damaged
P0C79,Drive motor inverter fault,Inspect inverter circuitry,"motor inverter error, motor not running, motor power inverter issue, inverter driving motor failed, motor inverter malfunction, drive inverter fault, motor won't spin inverter problem, inverter to motor fault, drivetrain inverter error, motor drive unit failure, inverter feeding motor broken, motor inverter shutdown",High,Motor,Check inverter input voltage|Inspect IGBT modules for damage|Test gate driver signals|Check inverter coolant flow|Measure motor phase voltages|Replace inverter module if IGBTs are shorted
P0A1A,Motor control module error,Check motor control unit connections,"mcu error, motor controller not working, motor drive issue, mcu fault, motor control unit failure, motor ecu problem, motor controller malfunction, motor drive controller error, motor control board fault, mcu not responding, motor drive unit error, motor controller crashed",High,Motor,Check MCU power supply|Inspect MCU connector pins|Read MCU diagnostic codes|Update MCU firmware|Check MCU cooling|Replace MCU if internal fault confirmed
P0A1F,Motor control module over-temperature,Check MCU cooling system,"motor controller overheating, mcu hot, motor drive overheating fault, motor controller thermal shutdown, mcu temperature too high, motor control unit overheating, motor driver overtemp, motor controller thermal fault, mcu cooling failure, motor control board hot, motor drive thermal protection, mcu overheated",High,Motor,Reduce power demand immediately|Check MCU coolant flow|Inspect cooling fins for blockage|Verify thermal paste application|Check ambient temperature conditions|Replace MCU cooling fan if faulty
P0C20,Motor resolver error,Inspect resolver wiring and replace if defective,"motor resolver fault, rotor position error, motor synchronization issue, resolver signal lost, motor position sensor error, resolver wiring fault, motor angle measurement error, resolver feedback lost, motor rotor position unknown, resolver signal noise, motor position data invalid, resolver calibration lost",High,Motor,Check resolver connector and wiring|Measure resolver excitation signal|Verify resolver output signals|Check for electromagnetic interference|Recalibrate resolver offset|Replace resolver if signals are missing
P0C3F,Drive motor position sensor fault,Check and replace sensor,"motor position sensor issue, motor angle sensor error, sensor fault, motor speed sensor problem, motor hall sensor failure, motor encoder error, motor position feedback lost, hall effect sensor motor fault, motor rotation sensor broken, motor shaft position error, motor speed measurement fault, position sensor circuit failure",Medium,Motor,Check sensor power supply voltage|Inspect sensor wiring harness|Measure sensor output signals|Verify sensor air gap|Replace position sensor|Recalibrate motor controller after sensor replacement
P0C48,Motor stator winding temperature high,Check motor cooling and reduce load,"motor winding hot, motor stator overheating, motor coil temperature high, motor winding thermal fault, stator temperature exceeded, motor overheating internally, motor winding overheat, motor coils too hot, stator thermal protection active, motor internal temperature critical, winding temperature sensor alarm, motor heat damage risk",High,Motor,Reduce motor load immediately|Check motor coolant system|Inspect motor cooling jacket|Verify coolant pump operation|Check for motor bearing failure causing friction|Allow motor to cool and inspect windings for damage
P0C55,Motor rotor temperature high,Inspect motor cooling and bearing condition,"motor rotor overheating, motor rotor hot, rotor thermal fault, motor shaft overheating, rotor temperature alarm, motor rotor thermal limit, rotor heat issue, motor internal rotor hot, rotor magnet overheating, motor rotor thermal shutdown, permanent magnet overtemp, rotor demagnetization risk",High,Motor,Stop motor operation to prevent damage|Check motor bearing condition|Inspect motor cooling system|Verify motor load is within specification|Check for rotor magnet demagnetization|Replace motor if rotor damage confirmed
P0C60,Motor phase current imbalance,Check motor wiring and inverter,"motor phase fault, unbalanced motor current, motor winding fault, motor phase current unequal, phase imbalance in motor, motor vibrating phase issue, motor running rough phase fault, one motor phase weak, phase current asymmetry, motor electrical imbalance, three phase motor fault, motor winding short",High,Motor,Measure current on each motor phase|Check motor phase wire connections|Test motor winding resistance balance|Inspect inverter output stages|Check for motor winding short circuit|Replace motor or inverter as needed
P0C65,Motor vibration excessive,Inspect motor mounts and bearings,"motor vibrating, motor shaking, motor vibration fault, excessive motor vibration, motor noise and vibration, motor running rough, motor bearing noise, motor mount loose, motor vibration alarm, drivetrain vibration, motor mechanical fault, motor balance issue",Medium,Motor,Check motor mounting bolts torque|Inspect motor bearings for wear|Look for motor shaft misalignment|Check coupling between motor and gearbox|Balance motor rotor if needed|Replace motor bearings if worn
P0E50,Motor derating active,Check cooling and operating conditions,"motor power limited, motor derating, motor output restricted, motor power reduced by system, motor thermal derating, power limit motor overheat, motor not giving full power, motor protection limiting output, motor output capped, drivetrain power restricted, motor performance limited, ev power decreased motor",Medium,Motor,Check motor temperature|Verify motor coolant flow|Inspect motor cooling fins|Check ambient temperature|Reduce driving load temporarily|Investigate root cause of overheating
P0C78,Inverter cooling system fault,Check coolant level and cooling fan,"inverter overheating, cooling fault, thermal fault in inverter, cooling fan issue, inverter coolant low, inverter cooling failure, inverter temperature warning, cooling system not working inverter, inverter fan not running, inverter thermal management fault, coolant leak inverter, inverter heat problem",High,Inverter,Check inverter coolant level|Inspect cooling fan operation|Verify coolant pump is running|Check for coolant leaks|Flush and refill cooling system|Replace cooling fan or pump if faulty
P0C37,Inverter temperature sensor error,Check and replace sensor,"inverter temp sensor fault, sensor error in inverter, overheating sensor issue, inverter temperature reading wrong, inverter temp sensor malfunction, thermal sensor inverter broken, inverter temperature measurement error, inverter heat sensor fault, inverter temp probe failure, temperature transducer inverter fault, inverter sensor circuit open, inverter thermal sensor shorted",Medium,Inverter,Read sensor resistance value|Compare with specification|Check sensor wiring continuity|Inspect connector for damage|Replace temperature sensor|Clear fault code and verify reading
P0C8F,Inverter DC link voltage imbalance,Check DC link capacitors and inverter wiring,"dc link fault, inverter voltage imbalance, capacitor issue, inverter error, dc bus voltage uneven, inverter dc link problem, capacitor bank failure, dc link voltage fluctuation, inverter bus capacitor fault, dc link ripple high, inverter power stage fault, dc bus instability",High,Inverter,Measure DC link voltage|Check DC link capacitor ESR|Inspect capacitor bank for swelling|Verify input voltage balance|Check inverter switching patterns|Replace failed capacitors
P0C90,Inverter gate driver fault,Replace or repair inverter gate driver,"inverter driver issue, gate signal fault, inverter malfunction, igbt driver error, gate driver circuit fault, inverter switching fault, gate driver power supply fault, inverter gate control error, igbt gate signal missing, inverter gate driver failure, switching device driver fault, gate drive circuit malfunction",High,Inverter,Check gate driver power supply|Measure gate drive signals|Inspect gate driver IC|Check for IGBT short circuit|Replace gate driver board|Test inverter operation at low power after repair
P0C95,Inverter IGBT short circuit,Replace inverter power module,"inverter short circuit, igbt failure, inverter power device shorted, inverter shoot through, igbt module blown, inverter power stage short, power transistor failure, inverter catastrophic fault, igbt thermal destruction, power module failure inverter, inverter semiconductor failure, igbt desaturation fault",Critical,Inverter,Disconnect inverter from motor and battery|Test IGBT module with multimeter|Check for collateral damage|Replace IGBT power module|Check gate driver before powering up|Test at low power before full operation
P0CA0,Inverter overcurrent fault,Check motor and inverter connections,"inverter overcurrent, too much current in inverter, inverter current limit exceeded, inverter tripping on current, overcurrent protection inverter, inverter blowing fuse, excessive current inverter, current surge in inverter, inverter current spike, motor drawing too much current, inverter amperage too high, overcurrent shutdown inverter",High,Inverter,Check motor phase wiring for shorts|Inspect motor winding resistance|Verify inverter current sensor calibration|Check for motor mechanical binding|Reduce motor load|Replace inverter current sensors if reading incorrectly
P0CA5,Inverter overvoltage protection,Check battery voltage and regenerative braking,"inverter overvoltage, voltage too high inverter, inverter voltage spike, regenerative braking overvoltage, dc bus voltage too high, inverter voltage limit exceeded, battery voltage causing inverter trip, regen causing overvoltage, inverter bus voltage alarm, voltage surge inverter, inverter overvoltage shutdown, back emf overvoltage",High,Inverter,Check battery state of charge during regen|Verify regenerative braking settings|Inspect braking resistor if equipped|Check battery ability to accept charge|Reduce regenerative braking intensity|Verify voltage clamp circuit operation
P0D23,DC-DC converter fault,Check converter wiring and replace if needed,"dc dc converter error, 12v battery not charging, converter problem, low voltage, auxiliary converter fault, dc to dc converter failure, 12v system not getting power, converter not working, dcdc converter malfunction, 12v battery dying, auxiliary power converter fault, low voltage battery not charging",High,Converter,Check 12V battery voltage|Measure DC-DC converter output voltage|Inspect converter input connections|Check converter cooling|Test converter under load|Replace DC-DC converter if output is wrong
P0A94,DC-DC converter performance fault,Replace converter if defective,"converter performance degraded, dc dc low efficiency, dc dc power issue, converter output weak, dc dc converter underperforming, converter voltage fluctuating, auxiliary converter low output, converter not meeting spec, dc dc converter voltage drop, converter efficiency reduced, auxiliary power weak, dc dc converter aging",Medium,Converter,Measure converter output voltage under load|Check input voltage from HV battery|Inspect converter for overheating|Test converter ripple voltage|Check output filter capacitors|Replace converter if performance below specification
P0A0D,High-voltage converter temperature fault,Inspect cooling system,"converter overheating, dc dc thermal issue, converter hot, dc dc converter temperature high, converter cooling failure, converter thermal shutdown, hv converter overheat, converter heat warning, converter thermal protection active, dc dc temperature alarm, high voltage converter hot, converter cooling fan failed",High,Converter,Check converter coolant flow|Inspect cooling fan operation|Verify thermal paste condition|Check ambient temperature around converter|Reduce electrical load temporarily|Replace converter cooling components if needed
P0D18,DC-DC converter temperature fault,Check charger cooling,"charger overheating, hot charger fault, thermal issue in charger, dc dc converter temperature warning, converter getting too hot, dc dc thermal alarm, converter coolant issue, converter heat problem, dc dc overtemperature, converter thermal management fault, dc dc cooling failure, converter temperature exceeded",Medium,Converter,Check converter ambient temperature|Inspect converter cooling system|Verify cooling fan operation|Clean converter heat sink fins|Check for restricted airflow|Reduce load on converter during high temperatures
P0D35,DC-DC converter output voltage high,Check converter voltage regulation,"converter voltage high, 12v system overvoltage, dc dc output too high, converter overcharging 12v, auxiliary voltage high, dc dc regulator fault, converter overvoltage output, 12v battery overcharging, dc dc output above spec, converter voltage regulation error, auxiliary system overvoltage, converter output voltage fault",High,Converter,Measure DC-DC output voltage precisely|Check voltage regulation feedback circuit|Inspect voltage reference component|Test load regulation|Protect 12V electronics from overvoltage|Replace converter if voltage cannot be regulated
P0D40,DC-DC converter output voltage low,Check converter and 12V load,"converter voltage low, 12v system undervoltage, dc dc output too low, 12v accessories not working, auxiliary voltage low, converter not producing enough voltage, 12v battery going flat, converter weak output, accessories dimming 12v fault, dc dc voltage drop, converter underperforming low output, 12v system brownout",Medium,Converter,Check 12V battery condition|Measure DC-DC output under load|Check for excessive 12V loads|Inspect converter input voltage|Verify converter enable signal|Replace 12V battery or DC-DC converter as needed
P1C20,On-board charger failure,Check charger connections or replace charger,"charger not working, onboard charging fault, ev not charging, charger failure, ac charger broken, level 2 charger fault, onboard charger dead, charging unit failure, ac charging not working, charger hardware fault, obc failure, internal charger malfunction",High,Charging,Check AC input voltage to charger|Verify charger pilot signal from EVSE|Inspect charger output voltage|Check charger communication with BMS|Test charger at different power levels|Replace on-board charger if confirmed faulty
P1C12,On-board charger interlock circuit fault,Check interlock connections,"hv interlock open, system interlock error, high voltage disconnected, charger safety interlock fault, interlock loop broken, charging safety circuit open, hv safety switch triggered, interlock connector loose, charger safety shutdown, high voltage interlock failure, safety loop open, hv disconnect detected",High,Charging,Inspect all HV interlock connectors|Check interlock loop continuity|Verify connector seating at each junction|Look for damaged interlock pins|Repair broken interlock wiring|Test interlock circuit end to end
P1D10,On-board charger communication error,Check CAN bus wiring,"charger comms lost, onboard charger not responding, charger ecu offline, charger communication fault, obc can bus error, charger not talking to bms, charger network fault, charger data link failure, obc communication timeout, charger can signal missing, charger offline on network, obc not sending messages",Medium,Charging,Check CAN bus wiring to charger|Verify CAN termination resistors|Measure CAN bus voltage levels|Check charger CAN connector|Reset charger communication|Update charger firmware if available
P0D30,On-board charger over-voltage fault,Inspect charger circuitry,"charger overvoltage error, charging fault, charger exceeding voltage, charger output too high, charging voltage spike, obc voltage output high, charger sending too much voltage, overcharging battery fault, charger regulation error, obc overvoltage, charger output voltage exceeded, battery overvoltage from charger",Critical,Charging,Stop charging immediately|Measure charger output voltage|Check charger voltage regulation|Inspect battery for overcharge damage|Test charger at reduced power|Replace charger if voltage regulation failed
P1C40,On-board charger ground fault,Check insulation and charger grounding,"charger ground fault, leakage current, charger insulation problem, charger ground leak, gfci trip during charging, ground fault detected charging, earth leakage charger, charger isolation fault, ground fault interrupt, charger leaking current, gfi tripping when charging, charger earth fault",Critical,Charging,Stop charging and disconnect|Measure insulation resistance of charger|Check charger grounding connection|Inspect charging cable for damage|Test GFCI operation|Repair insulation or replace charger
P1C50,Charging port actuator fault,Inspect charge port lock mechanism,"charge port stuck, charge port won't lock, charge port actuator failure, can't remove charging cable, charge port jammed, charging connector stuck, charge port lock broken, can't unlock charge port, charge port mechanism fault, charging plug stuck in car, charge port latch failure, charge port motor broken",Medium,Charging,Try manual charge port release|Check actuator motor operation|Inspect locking pin mechanism|Verify actuator control signal|Lubricate charge port mechanism|Replace charge port actuator assembly
P1C55,Charge port communication fault,Check charge port wiring,"charge port pilot fault, charge port signal error, charge port not communicating, evse communication failure, pilot signal missing, charge port proximity fault, j1772 pilot error, charge port protocol fault, charging handshake failure, charge port control pilot issue, evse pilot signal wrong, charge port pp signal fault",Medium,Charging,Check pilot signal at charge port|Inspect proximity detection circuit|Verify charge port connector pins|Test with different EVSE unit|Check charge port control board|Replace charge port assembly if signals are missing
P1C60,DC fast charging fault,Check CCS/CHAdeMO connector and communication,"fast charging not working, dc fast charge error, ccs fault, chademo error, rapid charging failure, supercharger not working, dc charging communication fail, fast charge timeout, ccs plug not charging, dc charging protocol error, rapid charge connector fault, high power charging failure",High,Charging,Inspect DC charging connector pins|Verify communication protocol sequence|Check HV battery preconditioning|Test with different DC charger|Check CCS or CHAdeMO control board|Verify battery temperature allows fast charging
P1C65,Charging session timeout,Check EVSE and vehicle charging settings,"charging timed out, charging stopped unexpectedly, charge session ended early, charging interrupted timeout, ev stopped charging itself, charging session dropped, charge session won't complete, charging cuts out midway, ev keeps stopping charge, charging auto stopped, charge session disconnect, scheduled charging timeout",Low,Charging,Check EVSE timer settings|Verify vehicle charge limit settings|Check for WiFi or communication drops|Inspect charging cable connection security|Test with different EVSE|Check for software update for charging module
P1C70,Wireless charging alignment fault,Reposition vehicle over charging pad,"wireless charging misaligned, inductive charging failed, cannot charge wirelessly, wireless pad not connecting, inductive charger alignment error, wireless charging weak signal, vehicle not centered on pad, wireless charge efficiency low, inductive charging fault, wireless charger not working, charging pad alignment off, wireless charge position error",Low,Charging,Reposition vehicle over charging pad|Use alignment guide indicator|Check charging pad for obstructions|Verify wireless charger transmitter power|Check receiver coil on vehicle|Clean charging pad surface
P1C75,Vehicle-to-grid bidirectional charging fault,Check V2G system and grid connection,"v2g fault, bidirectional charging error, vehicle to grid not working, v2g communication failure, bidirectional charger fault, v2g power export error, grid tie inverter fault, v2l not working, vehicle to load error, bidirectional power fault, v2g handshake failure, power export from ev failed",Medium,Charging,Check V2G charger connector|Verify grid connection quality|Test V2G communication protocol|Check V2G inverter output|Verify utility approval for V2G|Reset V2G system and retry
U0100,Lost communication with ECU,Check ECU connections and reset system,"ecu not responding, communication lost, no signal from ecu, system offline, engine control unit fault, ecu communication failure, main ecu offline, vehicle ecu not talking, control unit communication lost, ecu data link error, ecu can bus fault, ecu network timeout",High,Communication,Check ECU power supply|Inspect CAN bus wiring|Verify CAN bus termination|Read ECU fault codes|Reset ECU|Update ECU firmware if available
U0111,Lost communication with battery energy control module,Check wiring to BECM,"battery ecu not responding, becm fault, battery controller offline, battery control module comm lost, becm not sending data, battery module communication error, becm timeout, battery controller can bus fault, battery supervisor offline, becm data link failure, battery module network error, becm disconnected",High,Communication,Check BECM power supply|Inspect CAN connector at BECM|Verify CAN bus integrity|Test BECM with diagnostic tool|Reset BECM module|Replace BECM if unresponsive after reset
U0129,Lost communication with brake control module,Check brake ECU wiring and reset system,"brake system error, abs ecu not responding, brake communication lost, abs fault, brake control module offline, brake ecu comm failure, abs controller not responding, brake system communication error, brake module network fault, abs data link lost, brake ecu timeout, abs module disconnected",Critical,Communication,Check brake ECU power supply|Inspect brake module CAN wiring|Verify brake system ground connections|Test brake ECU with diagnostic tool|Reset brake control module|Drive cautiously and have brakes inspected immediately
U0131,Lost communication with power steering control module,Check EPS wiring and reset system,"steering ecu not responding, eps communication lost, power steering fault, electric power steering offline, eps controller comm failure, power steering ecu not talking, eps module disconnected, steering assist communication error, eps network fault, power steering data link lost, eps timeout, steering control module offline",High,Communication,Check EPS module power supply|Inspect EPS CAN wiring|Verify EPS ground connection|Test EPS with diagnostic tool|Reset EPS module|Check steering angle sensor
U0140,Lost communication with body control module,Check BCM wiring,"body control module offline, bcm not responding, communication with bcm lost, bcm fault, body controller comm failure, bcm network error, body module disconnected, bcm data link fault, body ecu not talking, bcm timeout, body control unit offline, bcm communication lost",Medium,Communication,Check BCM fuse|Inspect BCM connector|Verify CAN bus at BCM|Read BCM fault codes|Reset BCM module|Check for water damage at BCM location
U0155,Lost communication with instrument panel cluster,Check cluster wiring,"cluster ecu not responding, dashboard offline, ipc fault, instrument cluster blank, dashboard not working, cluster communication lost, instrument panel not responding, dashboard display dead, ipc comm failure, cluster network error, gauges not working, speedometer not responding",Medium,Communication,Check instrument cluster power supply|Inspect cluster connector|Verify CAN bus connection to cluster|Test cluster display|Reset instrument cluster|Replace cluster if display is damaged
U0073,CAN bus A communication fault,Inspect CAN bus wiring and termination,"can bus error, can network down, vehicle network fault, can bus communication failure, can bus offline, vehicle can bus problem, can network malfunction, communication bus error, can bus shorted, can signal missing, vehicle network communication lost, can bus wiring fault",High,Communication,Measure CAN bus voltage levels (CANH ~3.5V CANL ~1.5V)|Check CAN termination resistance (should be ~60 ohms)|Inspect CAN bus wiring for damage|Check all CAN connectors|Isolate faulty node by disconnecting modules|Repair damaged CAN bus wiring
U0300,Software incompatibility with ECU,Update ECU software,"software version mismatch, ecu software error, firmware incompatible, software update needed, ecu software fault, control module software issue, firmware version wrong, ecu reprogramming needed, software calibration error, control unit needs update, ecu flash required, software does not match hardware",Medium,Communication,Check current ECU software version|Download correct software update|Connect diagnostic tool for reprogramming|Flash ECU with updated firmware|Verify all modules communicate after update|Clear fault codes and test drive
U0416,Lost communication with vehicle dynamics control module,Check stability control wiring,"esc ecu not responding, stability control offline, vehicle dynamics module fault, traction control communication lost, esc comm failure, stability system not responding, dynamic control module error, vdc offline, esc network fault, traction control ecu timeout, esc data link lost, stability controller disconnected",High,Communication,Check ESC module power supply|Inspect ESC CAN connector|Verify wheel speed sensor connections|Test ESC with diagnostic tool|Reset ESC module|Drive carefully without stability control
P1B10,Battery thermal runaway detected,Inspect battery modules and cooling system immediately,"thermal runaway, battery overheating, battery fire risk, high temp battery fault, battery cells overheating dangerously, battery thermal emergency, battery fire warning, battery extreme temperature, battery meltdown risk, thermal event battery, battery smoke detected, battery temperature critical emergency",Critical,Thermal,EVACUATE VEHICLE IMMEDIATELY|Do NOT attempt to extinguish with water initially|Call emergency services|Do NOT open battery enclosure|Allow battery to cool from safe distance|Have battery inspected by trained technician only
P1B15,Battery cooling pump failure,Replace coolant pump,"battery coolant pump not working, cooling pump fault, battery pump failure, coolant circulation stopped, battery pump motor dead, coolant pump not running, battery cooling circulation fault, pump not pushing coolant, battery chiller pump error, cooling loop pump failure, battery coolant pump stuck, cooling pump motor burned",High,Thermal,Check coolant pump fuse|Verify pump motor voltage|Inspect pump for mechanical seizure|Check coolant level in reservoir|Test pump relay|Replace coolant pump assembly
P1B20,Battery cooling fan failure,Check and replace cooling fan,"battery fan not working, cooling fan dead, battery cooling fan fault, fan motor failure battery, battery ventilation fault, battery air cooling fan broken, fan not spinning battery, battery fan motor burned, cooling fan circuit fault, battery thermal fan error, fan relay fault battery, battery fan noise stopped",High,Thermal,Check cooling fan fuse|Verify fan motor voltage supply|Inspect fan motor for seizure|Test fan relay|Check fan temperature sensor trigger|Replace cooling fan motor
P1B25,Coolant temperature sensor fault,Check and replace coolant sensor,"coolant temp sensor error, coolant temperature reading wrong, thermal management sensor fault, coolant sensor malfunction, wrong coolant temperature, coolant thermistor fault, cooling sensor circuit error, coolant temp probe failure, thermal sensor coolant loop, coolant temperature not reading, coolant sensor open circuit, coolant sensor shorted",Medium,Thermal,Measure sensor resistance at known temperature|Check sensor wiring continuity|Inspect sensor connector|Compare reading with infrared thermometer|Replace coolant temperature sensor|Clear fault and verify accurate reading
